AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;ClasseNOME;Sesso;Isc
2017/2018;1502;Milano Politecnico;LM-31;Ingegneria gestionale;M;1142
2017/2018;1502;Milano Politecnico;LM-20;Ingegneria aerospaziale e astronautica;M;664
2017/2018;1502;Milano Politecnico;LM-29;Ingegneria elettronica;M;246
2017/2018;1502;Milano Politecnico;LM-3;Architettura del paesaggio;F;20
2017/2018;1502;Milano Politecnico;LM-3;Architettura del paesaggio;M;15
2017/2018;1502;Milano Politecnico;LM-30;Ingegneria energetica e nucleare;F;208
2017/2018;1502;Milano Politecnico;LM-28;Ingegneria elettrica;M;353
2017/2018;1502;Milano Politecnico;LM-31;Ingegneria gestionale;F;566
2017/2018;1502;Milano Politecnico;LM-28;Ingegneria elettrica;F;61
2017/2018;1502;Milano Politecnico;LM-32;Ingegneria informatica;F;135
2017/2018;1502;Milano Politecnico;LM-32;Ingegneria informatica;M;898
2017/2018;1502;Milano Politecnico;LM-33;Ingegneria meccanica;F;93
2017/2018;1502;Milano Politecnico;LM-33;Ingegneria meccanica;M;1100
2017/2018;1502;Milano Politecnico;LM-35;Ingegneria per l'ambiente e il territorio;F;169
2017/2018;1502;Milano Politecnico;LM-35;Ingegneria per l'ambiente e il territorio;M;194
2017/2018;1502;Milano Politecnico;LM-30;Ingegneria energetica e nucleare;M;839
2017/2018;1502;Milano Politecnico;LM-24;Ingegneria dei sistemi edilizi;M;529
2017/2018;1504;Milano Cattolica;1;Biotecnologie;M;1
2017/2018;1502;Milano Politecnico;LM-21;Ingegneria biomedica;M;460
2017/2018;1502;Milano Politecnico;LM-22;Ingegneria chimica;F;127
2017/2018;1502;Milano Politecnico;LM-22;Ingegneria chimica;M;218
2017/2018;1502;Milano Politecnico;LM-23;Ingegneria civile;F;174
2017/2018;1502;Milano Politecnico;LM-29;Ingegneria elettronica;F;59
2017/2018;1502;Milano Politecnico;LM-24;Ingegneria dei sistemi edilizi;F;394
2017/2018;1502;Milano Politecnico;LM-4 C.U.;Architettura e ingegneria edile-architettura (quinquennale);F;344
